Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,48,Female,Dress,Clothing,33,Vermont,XL,Teal,Fall,3.6,No,Standard,No,No,23,Cash,Bi-Weekly
2,39,Male,Belt,Accessories,86,New York,XL,Lavender,Spring,3.9,No,2-Day Shipping,Yes,Yes,16,PayPal,Monthly
3,36,Female,Jacket,Outerwear,100,Nebraska,M,Purple,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,4,Bank Transfer,Monthly
4,40,Female,Scarf,Accessories,54,Nebraska,L,Yellow,Fall,3.9,No,Next Day Air,No,No,23,Cash,Fortnightly
5,61,Male,Jacket,Outerwear,80,Nevada,L,Green,Spring,3.5,No,Store Pickup,No,No,6,Credit Card,Monthly
6,33,Female,Pants,Clothing,69,Vermont,S,Yellow,Winter,4.7,No,Store Pickup,Yes,Yes,14,Debit Card,Annually
7,43,Female,Gloves,Accessories,60,South Carolina,M,Lavender,Summer,3.8,No,Express,No,No,15,PayPal,Every 3 Months
8,47,Female,Shoes,Footwear,79,California,XL,Orange,Spring,3.5,No,Store Pickup,Yes,Yes,4,Venmo,Quarterly
9,67,Male,Hat,Accessories,37,Nebraska,M,Silver,Winter,4.8,No,Free Shipping,No,No,18,Debit Card,Monthly
10,39,Male,Pants,Clothing,55,Iowa,S,Black,Spring,3.2,No,Next Day Air,No,No,8,Bank Transfer,Quarterly
11,58,Male,Coat,Outerwear,35,Florida,XL,Purple,Spring,4.7,No,Express,Yes,Yes,2,Credit Card,Quarterly
12,62,Female,Pants,Clothing,42,Utah,M,Orange,Fall,2.5,No,Free Shipping,No,No,11,Cash,Annually
13,43,Female,Pants,Clothing,32,Texas,M,Pink,Summer,3.5,No,Store Pickup,No,No,24,Venmo,Monthly
14,41,Female,Shoes,Footwear,37,Washington,L,White,Spring,2.6,Yes,Store Pickup,Yes,Yes,6,Credit Card,Monthly
15,39,Male,Sandals,Footwear,58,Maryland,M,Maroon,Spring,2.8,Yes,Next Day Air,Yes,Yes,28,Cash,Fortnightly
16,40,Male,Jacket,Outerwear,80,Michigan,M,White,Spring,3.9,Yes,Next Day Air,No,No,30,PayPal,Quarterly
17,57,Female,Shoes,Footwear,49,Rhode Island,S,Orange,Winter,3.8,No,Express,No,No,26,Venmo,Quarterly
18,47,Male,Jeans,Clothing,55,Georgia,L,Cyan,Fall,3.3,Yes,Next Day Air,Yes,Yes,22,Debit Card,Quarterly
19,48,Female,Jacket,Outerwear,56,Arizona,M,Pink,Winter,4.6,No,Express,Yes,Yes,31,PayPal,Monthly
20,27,Female,T-shirt,Clothing,60,Michigan,L,Charcoal,Fall,4.4,No,Free Shipping,Yes,Yes,27,PayPal,Bi-Weekly
21,29,Female,Hat,Accessories,47,New York,L,Violet,Fall,3.7,No,2-Day Shipping,No,No,13,Cash,Annually
